"NS_1","NS_10","NS_11","NS_12","NS_13","NS_14","NS_15","NS_16","NS_17","NS_18","NS_19","NS_2","NS_20","NS_21","NS_22","NS_23","NS_3","NS_4","NS_5","NS_6","NS_7","NS_8","NS_9","S_1","S_10","S_11","S_12","S_13","S_14","S_15","S_16","S_17","S_18","S_19","S_2","S_20","S_21","S_22","S_23","S_24","S_25","S_26","S_27","S_28","S_3","S_4","S_5","S_6","S_7","S_8","S_9"
577.9389271,304.8471631,559.956482,633.2881918,277.5200587,556.9186866,480.0687591,543.2521081,568.9781223,761.1058167,888.769882,370.4900729,411.7730679,748.2162015,338.0043892,253.0248681,599.5797081,368.2807227,401.7764831,156.6589304,326.8669075,379.9500057,365.2790002,224.0739929,515.9188054,632.9737896,79.38014604,364.1162181,294.8058369,185.8476724,466.0451445,670.9164459,354.5145972,538.0453715,439.8086884,471.9588945,504.9940035,407.535951,373.5566012,261.1562965,436.0420204,180.3815965,292.2122592,507.3520088,501.8050175,672.6286531,186.4180766,921.5359553,353.9582144,86.45663024,284.9096065
6734.447343,9877.319763,5015.431135,6649.104774,2712.348576,4147.423898,477.4989515,8586.851911,27236.49497,8095.637646,8944.187028,398.7295438,2552.56733,13293.46405,4947.468097,3825.518049,4532.395909,5123.242521,11698.52706,4449.434505,9612.211773,7323.651368,5040.62655,19874.45807,22709.33655,2559.065992,5170.658449,11730.0361,5340.501483,7759.215355,15523.89557,9828.202572,10136.79663,5949.589418,11737.36058,7292.986815,11259.59639,5773.675655,11420.1354,9482.045055,11445.60225,9138.773839,8656.445422,9913.833012,808.4482829,7346.11945,8481.166112,833.3705778,8580.838605,9170.900434,366.4016287
152.9541632,210.6338368,138.1960295,459.0678847,392.9838038,319.0480488,467.7527147,139.948619,276.1498462,375.3315811,323.4152713,326.4671953,569.0694838,328.1898024,133.629926,158.6320157,161.6237982,485.3475,220.9695401,666.2572966,296.6090174,307.6597643,488.4994927,355.3957617,502.5406972,378.2645548,467.8122645,327.8621446,631.3242287,437.7937508,686.7179,141.8191275,228.9356096,450.4862163,383.6937046,846.1366567,432.1318164,636.6630552,509.4146191,340.8686374,613.0833168,436.8324606,490.5084642,269.6014214,308.0632069,592.1069514,209.5227506,312.66856,136.0835089,183.9696001,781.7080686
1089.295944,217.752576,204.3175815,434.3249242,574.4479426,601.4551046,1356.749538,338.0762714,2313.944668,1136.44253,2977.44136,1089.778038,1558.342708,2093.437687,1388.538977,1513.692808,315.0080766,1693.302263,1706.676513,417.2044234,2064.987972,1101.931743,1085.42572,4617.735798,6653.354647,206.8773868,3671.484653,2026.49163,203.9939394,1010.221438,1668.975331,226.2203281,604.0247483,2009.980925,213.394035,1708.793055,834.2509864,1725.565936,2036.34823,5103.359073,1378.173219,8682.624027,2738.140508,2010.686661,464.3074606,3415.400613,2425.267621,1147.983445,1619.55442,2713.763794,1142.453868
6451.055389,11299.23736,6533.770432,7893.909652,10367.67347,543.933165,4856.718531,3903.564658,7641.379587,47171.46272,9549.962933,1393.267796,7399.047172,16003.39751,542.9783589,1143.723209,6243.259553,8153.074885,17956.00852,421.5776925,14705.60539,3123.649587,5995.007827,10863.27446,2133.933551,16159.56947,619.1373548,6678.794376,4788.984409,480.2265173,5888.736069,7900.574472,1568.072241,12440.87841,5355.580942,8925.584968,49349.46176,9421.312706,4455.416149,4198.598286,962.8985163,9953.331391,9155.500377,6371.478759,5085.051071,3108.274404,9198.171038,4796.200148,11338.10163,5691.943282,547.6819155
120.2471505,1619.288622,1219.579323,367.2530341,1986.203927,1309.607227,1152.568778,133.0925209,1240.640184,2682.75883,2547.886441,1233.419059,1146.109166,1556.703886,1217.427749,8154.363237,1132.118147,1512.636771,138.9646169,1359.395501,798.9211216,255.0583508,1067.667149,857.2830242,2186.461273,132.0654246,123.462461,144.4210767,1611.381605,4088.265229,1381.635518,1042.707472,1877.984729,1156.911369,986.2560785,464.5390488,2274.565848,1770.729944,1181.65402,1624.140021,3587.732541,1606.091149,1788.374852,960.2646969,1040.203463,126.1582782,1222.864489,403.2093597,1306.456647,1119.972924,937.9866908
19085.76386,4885.253664,3956.383502,33382.47539,4327.58785,608.8596548,12212.41151,647.1876862,3389.075443,7168.861994,1351.418467,2599.735446,12469.66336,218231.3596,7403.162848,101157.9942,2345.209171,1068.725311,4439.781556,1241.625153,5240.71093,32460.56556,5722.176934,754.0249982,4275.637991,133223.1553,8987.508743,2569.297084,68352.66773,2859.121784,12936.43481,3574.953866,687.3991568,1587.533048,4769.713894,2534.308493,2280.752844,1921.494816,1758.212573,1130.845844,5954.27763,2575.282597,3140.500575,1257.319429,15259.04429,2905.648763,12155.17556,2357.115504,11280.85486,2797.077586,7166.103399
34124.22862,37817.26058,40335.30627,37272.95129,38809.14852,38392.54842,35248.49114,37570.19744,22178.99843,27186.08069,31906.69855,39171.59468,29710.43037,16631.14506,47247.17462,39580.62301,34590.20831,7317.651748,37078.03844,30345.99725,28162.57823,42408.12926,41814.14479,28278.30568,34927.14691,33563.49971,31110.44789,24841.43634,13594.66349,35070.08696,27634.97555,34608.81878,14848.01565,33728.77803,30499.85078,38162.20853,31034.18794,27959.98495,52287.64386,54056.13256,33866.37279,22744.90869,37544.07191,39647.99402,41041.28978,28714.52291,30759.91023,32699.64203,41396.79491,36999.70604,38470.52215
316518.265,792774.6526,116305.4375,799896.4569,216574.6687,109413.2554,278390.2695,97431.45386,315910.7048,572744.5553,233702.5737,257693.6797,829906.4615,682819.4886,318334.4143,855553.7241,170247.8143,207436.6009,204828.1107,154572.1905,388836.9686,660011.5281,65452.8793,55509.59176,219099.5242,426451.9049,279286.3737,241306.3779,737182.4575,510130.1949,337307.7876,164078.7542,54950.75853,239549.1887,208229.892,56977.02792,86299.2792,251583.1662,86632.77446,237870.7929,172356.2405,168408.7171,390168.3,354324.8036,451537.65,525330.9684,503146.5714,133570.8221,126529.2644,74521.78599,299963.6716
44269.70835,25368.13976,12318.97563,10106.92625,44092.92573,7216.211068,1666.507203,27960.66882,17771.92319,27179.85266,103426.7284,1031.396883,26121.34207,28366.99687,1221.791486,933.502952,13095.80892,27908.76969,69923.43718,20645.43238,29177.36864,24928.9731,9923.800029,41296.65718,98942.08196,10929.97619,19187.75261,74802.95219,9216.707869,15696.77814,21902.08671,15110.96267,67270.10249,32256.19931,14592.54732,18022.02642,38794.80201,49315.68457,76223.66189,56148.97626,43634.70026,44532.0034,6492.828938,26184.12721,5186.055133,14385.93762,49932.5144,19156.57485,14520.65892,9155.886327,9151.244953
1930.935154,1124.531951,921.6852157,1187.644732,1413.85357,1174.753422,1031.008182,1794.253712,1869.778436,1056.91277,1250.099801,998.933059,2708.141774,1278.4264,2017.991741,675.8557854,1936.82677,1182.405982,1274.849198,2227.680125,1073.59137,1768.452053,2197.054796,2070.842693,2061.424487,1486.482791,1663.548898,1574.010138,1798.289809,1027.868007,1803.402816,1727.125048,1316.904452,1956.054841,2243.990254,1855.556393,1246.27443,1199.005892,1073.165406,1387.247657,1274.335872,1324.924217,1573.572048,2368.608146,2013.876574,1991.484176,1911.389755,1345.414886,1707.545254,1208.232273,1924.344438
8578.108986,6722.295715,6050.91519,4532.019696,5389.276726,2705.191504,1442.549739,6997.74784,3504.949535,3986.900319,4766.097991,2057.97327,11235.41651,1420.122828,1775.043456,1489.969877,4140.154671,10447.20234,10020.89881,4175.910734,1116.643721,6119.191388,720.0793627,8331.676679,5645.221096,5119.427093,6225.436067,6851.83542,1391.8365,3703.434344,4640.737602,5013.42843,3069.279729,2826.719133,11980.71818,5831.227161,7697.841433,6731.068451,3579.988415,3787.371503,2520.45101,4779.566416,5318.364507,6482.430791,5710.152535,5679.813584,4518.984455,4772.949066,12893.83312,8674.074687,6744.753692
15736.26308,21335.0122,15215.43643,7426.870599,37502.25239,14595.55823,17559.79847,52260.75908,53374.35113,23726.38336,10372.85338,8967.286665,19278.02898,65705.38194,3470.341968,26041.85292,17483.4225,4736.853361,8972.801794,7354.359205,14102.40144,25233.47027,8445.961994,106086.5165,19402.31988,42275.32268,29884.18527,45827.13187,47341.87882,69849.77428,211880.5983,33374.82206,45434.90179,7471.648271,25543.1831,15807.98287,18002.31101,53200.53917,9862.840741,6676.005834,19065.43523,15598.67217,2929.652835,5052.253201,17628.70212,113438.1511,74992.58514,17048.04038,39409.20477,17627.14651,40332.88456
716.2204934,2401.934788,458.5016439,375.7234978,763.1599032,843.0102883,823.3576472,1036.433529,2251.06451,1694.072022,975.397568,339.7123036,889.17868,741.9821314,783.2324522,653.1748274,882.2299107,349.3480022,1039.067515,122.9031847,593.3400934,1147.757562,314.0852399,2464.618355,2150.299372,1861.176084,493.2892833,1249.756127,1208.576052,340.803054,1939.080191,313.2368913,674.276628,828.9879994,1188.128574,903.9868933,1112.071727,649.8264805,746.4601461,2173.033405,1118.446481,1248.100135,901.3785792,121.0028886,897.2385267,673.169275,1271.272143,1711.090578,989.9009004,403.5315211,813.7639878
800.5515711,5864.801965,330.1215651,713.8043697,5971.329312,5321.726362,2009.376824,23.33247565,462.0984714,8063.60961,6432.196306,7279.997032,12765.52908,22328.13118,8722.992474,825.2153901,958.575105,729.4160383,148.9017361,288.1711211,152.3033158,33405.4387,182.9217786,3111.175721,31.01698306,13030.23633,2375.642733,375.8854476,1196.39802,1143.727385,2736.472059,230.9797464,2929.115668,627.4617645,192.1371811,788.1209381,2019.736265,3704.017272,671.877172,1013.035648,2745.101685,300.5262438,573.5182738,323.9183031,2773.787379,618.4512042,8058.933021,1510.171141,641.1425139,2524.966926,378.2773865
1109.17042,2931.250968,3691.407557,2885.550343,2306.826807,429.1018742,1541.245692,2522.680318,7251.189849,5024.738544,312.9428416,1959.799404,2625.631897,12157.05966,1805.851742,1085.921882,1215.489861,2912.490378,4156.365826,1761.221261,3955.22503,1366.428922,1146.830901,8607.749946,5710.621483,552.2797659,2450.439232,4929.566194,281.2001768,6002.137447,3503.672246,2565.792659,4419.958733,2959.954142,2049.3423,2511.726334,5549.031057,3260.702577,4409.875953,3075.630897,8309.730503,969.0573449,3674.928145,3533.501842,387.0546903,5687.60246,972.9426077,151.7748265,3895.317286,3411.53998,1233.486438
6662.10091,522.8869922,4988.632581,1804.593127,2748.389157,2129.013382,11549.91962,351.2102166,903.7028775,1390.972057,1377.795911,3832.093915,368.8489582,2187.243368,8561.564639,1158.022897,4181.31866,2108.207388,1761.080379,3498.272925,1737.688255,349.5649813,1330.351198,1447.903023,2439.245154,1910.377,376.3504381,625.4087515,2206.356833,325.3564542,2504.430626,3284.215962,1715.00072,2384.378587,2176.197166,1216.077294,2066.717996,1817.695127,1750.413894,1538.277746,2035.373255,1874.966751,2020.100006,1781.374281,1647.05522,2682.402198,1804.014791,5343.462174,356.4680938,2267.319396,5856.627679
